I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

13  28.585083333   53.584194444     3374    11380    40      0.000  JRM ENRT OI JAHROM DME
 3  23.176938889   89.163119444        0    11300   130     -1.000  JSR ENRT VG JESSORE VOR
 3  24.880305556   55.190555556      183    11340    40      2.000  JXB ENRT OM AL MAKTOUM (DUBAI) VOR/DME
12  24.880333333   55.190666667      183    11340    40      0.000  JXB ENRT OM AL MAKTOUM (DUBAI) VOR/DME
 2  28.278333333   68.421666667        0      232    50      0.000   JA ENRT OP JACOBABAD NDB
 2  27.823194444   52.339611111        0      385    25      0.000  JAM ENRT OI JAM NDB
 2  24.193333333   52.625000000        0      302    50      0.000   JD ENRT OM JEBEL DHANA NDB
 2  35.679444444   51.346388889        0      380    15      0.000  JET ENRT OI MEHRABAD (TEHRAN) NDB
 2  21.896666667   84.038888889        0      314    50      0.000   JH ENRT VE JHARSUGUDA NDB
 2  25.071625000   61.799630556        0      330    50      0.000   JI ENRT OP JIWANI NDB
 2  28.731361111   57.672138889        0      276    50      0.000  JIR ENRT OI JIROFT NDB
 2  26.712222222   85.921666667        0      287    50      0.000  JKP ENRT VN JANAKPUR NDB
 2  22.493611111   70.049722222        0      257    15      0.000  JMR ENRT VA JAMNAGAR NDB
 2  23.176938889   89.161730556        0      280    50      0.000   JR ENRT VG JESSORE NDB
 2  28.585083333   53.584194444        0      374    25      0.000  JRM ENRT OI JAHROM NDB
 2  25.651611111   57.783444444        0      349    50      0.000  JSK ENRT OI JASK NDB
 2  26.831333333   75.897500000        0      295    50      0.000   JI VIJP VI JAIPUR NDB
 3  31.362777778  130.830000000      214    11380    40     -6.000  JAT ENRT RJ KANOYA TACAN
12  31.362777778  130.830000000      214    11380    40      0.000  JAT ENRT RJ KANOYA TACAN DME
 3  32.925833333  129.932222222       20    11405    40     -6.000  JBT ENRT RJ OMURA TACAN
12  32.925833333  129.932222222       20    11405    40      0.000  JBT ENRT RJ OMURA TACAN DME
 3  33.392166667  126.714472222     1181    11790    25     -7.000  JDG ENRT RK JEDONG (JEJU) VOR/DME
12  33.392166667  126.714472222     1181    11790    25      0.000  JDG ENRT RK JEDONG (JEJU) VOR/DME
 3  36.516944444  139.875555556      406    11215    40     -7.000  JDT ENRT RJ UTSUNOMIYA TACAN
12  36.516944444  139.875555556      406    11215    40      0.000  JDT ENRT RJ UTSUNOMIYA TACAN DME
 3  35.531222222  133.094797222     1700    11670   130     -8.000  JET ENRT RJ MIHO (YONAGO) TACAN
12  35.531222222  133.094797222     1700    11670   130      0.000  JET ENRT RJ MIHO (YONAGO) TACAN DME
 3  14.704872222  122.329980556       77    11670    40     -1.000  JOM ENRT RP JOMALIG VOR/DME
12  14.704872222  122.329980556       77    11670    40      0.000  JOM ENRT RP JOMALIG VOR/DME
 3  37.033088889  127.891919444      281    11130    25     -8.000  JWN ENRT RK CHOONGWON TACAN
12  37.033088889  127.891919444      281    11130    25      0.000  JWN ENRT RK CHOONGWON TACAN DME
13  22.709027778  121.094361111       59    10820    25      0.000  JBT RCFN RC JHIHBEN (TAITUNG) DME
 2  31.356388889  130.848611111        0      238    50      0.000   JA ENRT RJ KANOYA NDB
 2  32.941666667  129.930000000        0      342    50      0.000   JB ENRT RJ OMURA NDB
 2  40.550277778  141.478333333        0      381    50      0.000   JC ENRT RJ HACHINOHE NDB
 2  36.487322222  139.863108333        0      389    50      0.000   JD ENRT RJ NIKKO (UTSUNOMIYA) NDB
 2   6.055569444  121.018063889        0      404    50      0.000   JL ENRT RP JOLO NDB
 2  22.709027778  121.094388889        0      325    50      0.000   JB RCFN RC JHIHBEN (TAITUNG) NDB
 3  -6.235744444  -57.770525000      360    11220    40    -15.000  JAC ENRT SB JACAREACANGA VOR/DME
12  -6.235744444  -57.770525000      360    11220    40      0.000  JAC ENRT SB JACAREACANGA VOR/DME
 3 -26.222261111  -48.798044444       29    11510    40    -19.000  JNV ENRT SB JOINVILLE VOR/DME
12 -26.222261111  -48.798044444       29    11510    40      0.000  JNV ENRT SB JOINVILLE VOR/DME
 3 -31.563858333  -68.421425000     1972    11310    40     -0.000  JUA ENRT SA SAN JUAN VOR/DME
12 -31.563858333  -68.421425000     1972    11310    40      0.000  JUA ENRT SA SAN JUAN VOR/DME
 3 -24.393500000  -65.092808333     2946    11290   130     -6.000  JUJ ENRT SA JUJUY VOR/DME
12 -24.393500000  -65.092808333     2946    11290   130      0.000  JUJ ENRT SA JUJUY VOR/DME
 3 -15.467944444  -70.151047222    12564    11550    40     -6.000  JUL ENRT SP JULIACA VOR/DME
12 -15.467944444  -70.151047222    12564    11550    40      0.000  JUL ENRT SP JULIACA VOR/DME
 3  -1.060194444  -77.565750000     1247    11430   130     -4.000  JUV ENRT SE JUMANDY VOR/DME
12  -1.060194444  -77.565750000     1247    11430   130      0.000  JUV ENRT SE JUMANDY VOR/DME
 2  -6.238666667  -57.773944444        0      360    75      0.000  JAC ENRT SB JACAREACANGA NDB
 2   5.601111111  -75.819444444        0      360    75      0.000  JDN ENRT SK JARDIN NDB
