I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 3  47.178305556    7.905916667     2417    11690    40      2.000  WIL ENRT LS WILLISAU VOR/DME
12  47.178305556    7.905916667     2417    11690    40      0.000  WIL ENRT LS WILLISAU VOR/DME
 3  52.607905556   -0.498727778      295    11760   130     -1.000  WIT ENRT EG WITTERING TACAN
12  52.607905556   -0.498727778      295    11760   130      0.000  WIT ENRT EG WITTERING TACAN DME
 3  48.579419444   11.129386111     1390    11280    40      2.000  WLD ENRT ED WALDA VOR/DME
12  48.579419444   11.129386111     1390    11280    40      0.000  WLD ENRT ED WALDA VOR/DME
13  50.835486111    6.669522222      334    10985    25      0.000  WNN ENRT ED NORVENICH DME
13  52.629722222   -3.153888889      282    11595    40      0.000  WPL ENRT EG WELSHPOOL DME
 3  51.505697222    9.110913889      833    11370    40      2.000  WRB ENRT ED WARBURG VOR/DME
12  51.505697222    9.110913889      833    11370    40      0.000  WRB ENRT ED WARBURG VOR/DME
 3  53.352750000   -6.493916667      200    11470   130     -4.000  WST ENRT EI WESTON VOR/DME
12  53.352750000   -6.493916667      200    11470   130      0.000  WST ENRT EI WESTON VOR/DME
 3  53.554333333    7.725111111       61    11350   130      1.000  WTM ENRT ED WITTMUNDHAFEN TACAN
12  53.554333333    7.725111111       61    11350   130      0.000  WTM ENRT ED WITTMUNDHAFEN TACAN DME
 3  53.741747222   -2.885155556       54    11320   130     -2.000  WTN ENRT EG WARTON TACAN
12  53.741747222   -2.885155556       54    11320   130      0.000  WTN ENRT EG WARTON TACAN DME
13  53.095888889   -7.591277778     1700    11630   130      0.000  WTP ENRT EI WOLFTRAP DME
 3  52.121933333    0.940472222      324    10930    25     -1.000  WTZ ENRT EG WATTISHAM TACAN
12  52.121933333    0.940472222      324    10930    25      0.000  WTZ ENRT EG WATTISHAM TACAN DME
 3  52.454855556    9.429383333      196    11485   130      2.000  WUN ENRT ED WUNSTORF TACAN
12  52.454855556    9.429383333      196    11485   130      0.000  WUN ENRT ED WUNSTORF TACAN DME
 3  49.717530556    9.947000000        0    11020    40      2.000  WUR ENRT ED WURZBURG VOR
 3  51.048352778    7.279997222        0    10960   130      1.000  WYP ENRT ED WIPPER VOR
