I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  56.684777778   47.899777778        0      297    15      0.000    I UWKJ UW YOSHKAR-OLA NDB
 2  56.658833333   47.905527778        0      610    15      0.000   IO UWKJ UW YOSHKAR-OLA NDB
 2  47.932861111   91.640111111        0      450    25      0.000   IM ZMKD ZM KHOVD (KHVOD) NDB
 2  47.860277778  106.743638889        0      450    25      0.000   IM ZMUB ZM ULAANBAATAR NDB
 3  38.868333333    1.365916667       42    11780    40     -0.000  IBA ENRT LE IBIZA VOR/DME
12  38.868361111    1.365972222       42    11780    40      0.000  IBA ENRT LE IBIZA VOR/DME
 3  48.718038889   11.569672222     1237    11140    40      3.000  IGL ENRT ED INGOLSTADT TACAN
12  48.718038889   11.569672222     1237    11140    40      0.000  IGL ENRT ED INGOLSTADT TACAN DME
 3  45.565586111   14.170863889     1961    11480   130      2.000  ILB ENRT LJ BISTRICA VOR/DME
12  45.565586111   14.170863889     1961    11480   130      0.000  ILB ENRT LJ BISTRICA VOR/DME
 3  63.803055556  -16.638055556      200    11240    40    -13.000  ING ENRT BI INGO VOR/DME
12  63.803055556  -16.638055556      200    11240    40      0.000  ING ENRT BI INGO VOR/DME
 3  57.542500000   -4.041666667       40    10920    40     -4.000  INS ENRT EG INVERNESS VOR/DME
12  57.542500000   -4.041666667       40    10920    40      0.000  INS ENRT EG INVERNESS VOR/DME
 3  54.066866667   -4.763475000      573    11220   130     -3.000  IOM ENRT EG ISLE OF MAN VOR/DME
12  54.066866667   -4.763475000      573    11220   130      0.000  IOM ENRT EG ISLE OF MAN VOR/DME
 3  35.340744444   25.185144444      106    10880   130      4.000  IRA ENRT LG IRAKLION VOR/DME
12  35.340744444   25.185144444      106    10880   130      0.000  IRA ENRT LG IRAKLION VOR/DME
 3  45.687527778   12.117083333      190    11170    25      2.000  ISA ENRT LI ISTRANA TACAN
12  45.687527778   12.117083333      190    11170    25      0.000  ISA ENRT LI ISTRANA TACAN DME
 3  43.526083333    4.926916667       98    11570   130      1.000  ITR ENRT LF ISTRES LE TUBE TACAN
12  43.526083333    4.926916667       98    11570   130      0.000  ITR ENRT LF ISTRES LE TUBE TACAN DME
 3  43.500194444    4.940000000       82    11270   130      1.000  ITS ENRT LF ISTRES LE TUBE VOR/DME
12  43.500194444    4.940000000       82    11270   130      0.000  ITS ENRT LF ISTRES LE TUBE VOR/DME
13  41.343055556   20.820555556     2815    10800    25      0.000  IZD ENRT LW IZDEGLAVJE DME
 2  45.043083333   20.073111111        0      485    25      0.000   IA ENRT LY INDIJA (BELGRADE) NDB
 2  48.737677778   11.644511111        0      345    25      0.000  IGL ENRT ED INGOLSTADT NDB
 2  62.674472222   22.869147222        0      382    15      0.000   IJ ENRT EF INDIA-JULIETT (SEINAJOKI) NDB
 2  37.682761111   26.345741667        0      322    15      0.000  IKA ENRT LG IKARIA NDB
 2  43.824461111   18.334008333        0      405    15      0.000   IL ENRT LQ SARAJEVO NDB
 2  49.471994444   10.388308333        0      488    25      0.000  ILM ENRT ED ILLESHEIM NDB
 2  55.020516667    9.706433333        0      316    15      0.000   IN ENRT EK SONDERBORG NDB
 2  50.883166667    1.741805556        0      387    15      0.000  ING ENRT LF SAINT INGLEVERT NDB
 2  47.230008333   11.401875000        0      420    25      0.000  INN ENRT LO INNSBRUCK NDB
 2  39.693072222   20.820947222        0      340    25      0.000  IOA ENRT LG IOANNINA NDB
 2  66.098416667  -23.038972222        0      385    15      0.000   IS ENRT BI ISAFJORDUR NDB
 2  41.898805556    8.612083333        0      341    50      0.000   IS ENRT LF AJACCIO NDB
 2  78.061336111   13.600311111        0      304    50      0.000  ISD ENRT EN ISFJORD NDB
 2  43.526305556    4.930305556        0      390    50      0.000  ITR ENRT LF ISTRES LE TUBE NDB
 2  38.915472222    1.470416667        0      394    25      0.000  IZA ENRT LE IBIZA NDB
 2  41.342777778   20.820555556        0      432    50      0.000  IZD ENRT LW IZDEGLAVJE NDB
 2  57.541508333   -4.045966667        0      328    15      0.000  IVR EGPE EG INVERNESS NDB
 2  67.274400000   14.721819444        0      320    15      0.000   IL ENBO EN ILSTAD NDB
 3  15.736763889  -88.588816667       33    11510    40      4.000  IOS ENRT MG PUERTO BARRIOS VOR/DME
12  15.736763889  -88.588816667       33    11510    40      0.000  IOS ENRT MG PUERTO BARRIOS VOR/DME
 3  16.463866667  -95.095108333       96    11220    40      6.000  IZT ENRT MM IXTEPEC VOR/DME
12  16.463866667  -95.095108333       96    11220    40      0.000  IZT ENRT MM IXTEPEC VOR/DME
 2  13.933333333  -90.733333333        0      400    50      0.000  IZP ENRT MG IZTAPA NDB
 3  32.746388889   51.824722222     5072    11710    40      3.000  IFN ENRT OI ESFAHAN TACAN
12  32.746388889   51.824722222     5072    11710    40      0.000  IFN ENRT OI ESFAHAN TACAN DME
 3  22.710611111   75.779500000     1848    11670   130     -0.000  IID ENRT VA INDORE VOR/DME
12  22.710611111   75.779500000     1848    11670   130      0.000  IID ENRT VA INDORE VOR/DME
 3  24.758166667   93.897722222     2560    11590   130     -0.800  IIM ENRT VE IMPHAL VOR/DME
12  24.758166667   93.897722222     2560    11590   130      0.000  IIM ENRT VE IMPHAL VOR/DME
 3  35.409666667   51.178472222     3271    11430   130      4.000  IKA ENRT OI IMAM KHOMAINI INTL (TEHRA VOR/DME
12  35.409666667   51.178472222     3271    11430   130      0.000  IKA ENRT OI IMAM KHOMAINI INTL (TEHRA VOR/DME
 3  33.578416667   46.415388889     4426    11260   130      4.000  ILM ENRT OI ILAM VOR/DME
12  33.578416667   46.415388889     4426    11260   130      0.000  ILM ENRT OI ILAM VOR/DME
 3  38.317444444   27.007222222     3304    11370   130      3.300  IMR ENRT LT IZMIR VOR/DME
12  38.317444444   27.007222222     3304    11370   130      0.000  IMR ENRT LT IZMIR VOR/DME
 3  41.951416667   33.706277778     2215    11330   130      5.000  INB ENRT LT INEBOLU VOR/DME
12  41.951416667   33.706277778     2215    11330   130      0.000  INB ENRT LT INEBOLU VOR/DME
 3  37.842166667   30.344777778     2864    11750   130      4.000  IPT ENRT LT ISPARTA VOR/DME
12  37.842166667   30.344777778     2864    11750   130      0.000  IPT ENRT LT ISPARTA VOR/DME
 3  32.746972222   51.828000000     5072    11320    40      3.000  ISN ENRT OI ESFAHAN VOR/DME
12  32.746972222   51.828000000     5072    11320    40      0.000  ISN ENRT OI ESFAHAN VOR/DME
 3  27.234388889   60.722333333     2037    11700   130      1.000  ISR ENRT OI IRAN SHAHR VOR/DME
12  27.234388889   60.722333333     2037    11700   130      0.000  ISR ENRT OI IRAN SHAHR VOR/DME
 3  40.961472222   28.810694444      163    11250   130      4.000  IST ENRT LT ISTANBUL VORTAC
12  40.961472222   28.810694444      163    11250   130      0.000  IST ENRT LT ISTANBUL VORTAC DME
 3  22.888500000   57.761869444     1676    11350    40      1.000  IZK ENRT OO IZKI VOR/DME
12  22.888500000   57.761869444     1676    11350    40      0.000  IZK ENRT OO IZKI VOR/DME
 2  25.166666667   52.900000000        0      366    50      0.000   ID ENRT OM DAS ISLAND NDB
 2  22.729750000   75.810083333        0      335    75      0.000   ID ENRT VA INDORE NDB
 2  32.748972222   51.880805556        0      337    50      0.000  IFN ENRT OI ESFAHAN NDB
 2  35.407916667   51.184750000        0      201    75      0.000  IKA ENRT OI IMAM KHOMAINI (TEHRAN) NDB
 2  33.584777778   46.412055556        0      311    50      0.000  ILM ENRT OI ILAM NDB
 2  24.758166667   93.889083333        0      289    50      0.000   IM ENRT VE IMPHAL NDB
 2  37.842166667   30.344777778        0      349    75      0.000  IPT ENRT LT ISPARTA NDB
 2  41.057250000   28.806361111        0      396    15      0.000   IS ENRT LT ISTANBUL NDB
 2  24.152847222   89.044841667        0      350    50      0.000   IS ENRT VG ISHURDI NDB
 2  27.232833333   60.717555556        0      309    75      0.000  ISR ENRT OI IRAN SHAHR NDB
 3  24.396011111  124.237952778      208    11540   130     -4.000  IGE ENRT RO ISHIGAKIJIMA VOR/DME
12  24.396011111  124.237952778      208    11540   130      0.000  IGE ENRT RO ISHIGAKIJIMA VOR/DME
 3  24.784722222  141.315833333      356    10980    40     -3.000  IJT ENRT RJ IWOTO TACAN
12  24.784722222  141.315833333      356    10980    40      0.000  IJT ENRT RJ IWOTO TACAN DME
 3  33.747511111  129.776852778      219    11320   130     -7.000  IKE ENRT RJ IKI (IKISHIMA) VOR/DME
12  33.747511111  129.776852778      219    11320   130      0.000  IKE ENRT RJ IKI (IKISHIMA) VOR/DME
 3  34.676244444  131.779880556      228    11505   130     -7.000  IME ENRT RJ IWAMI VOR/DME
12  34.676244444  131.779880556      228    11505   130      0.000  IME ENRT RJ IWAMI VOR/DME
 3  10.835394444  122.492094444      175    11630   130     -0.000  IOO ENRT RP ILOILO VOR/DME
12  10.835394444  122.492094444      175    11630   130      0.000  IOO ENRT RP ILOILO VOR/DME
 3  34.805483333  135.403661111      176    11475    40     -7.000  ITE ENRT RJ ITAMI VOR/DME
12  34.805483333  135.403661111      176    11475    40      0.000  ITE ENRT RJ ITAMI VOR/DME
 3  19.721361111 -155.010944444       23    11690   130     11.000  ITO ENRT PH HILO VORTAC
12  19.721361111 -155.010944444       23    11690   130      0.000  ITO ENRT PH HILO VORTAC DME
 3  34.079900000  132.147308333     2145    11430   130     -7.000  IWT ENRT RJ KUGA TACAN
12  34.079900000  132.147308333     2145    11430   130      0.000  IWT ENRT RJ KUGA TACAN DME
 3  37.148863889  140.975686111      534    11770   130     -7.000  IXE ENRT RJ IWAKI VOR/DME
12  37.148863889  140.975686111      534    11770   130      0.000  IXE ENRT RJ IWAKI VOR/DME
 3   4.397777778  -75.106111111     2810    11310   130     -6.000  IBG ENRT SK IBAGUE VOR/DME
12   4.397777778  -75.106111111     2810    11310   130      0.000  IBG ENRT SK IBAGUE VOR/DME
 3 -34.967777778  -71.215833333      745    11470    40      5.000  ICO ENRT SC CURICO VOR/DME
12 -34.967777778  -71.215833333      745    11470    40      0.000  ICO ENRT SC CURICO VOR/DME
 3 -25.734500000  -54.485694444      935    11410    40    -15.000  IGU ENRT SA CATARATAS DEL IGUAZU VOR/DME
12 -25.734500000  -54.485694444      935    11410    40      0.000  IGU ENRT SA CATARATAS DEL IGUAZU VOR/DME
 3 -17.691133333  -71.350441667        0    11250   130     -2.300  ILO ENRT SP ILO VOR
 3   0.862138889  -77.673027778     9744    11360   130     -3.000  IPI ENRT SK IPIALES VOR/DME
12   0.862138889  -77.673027778     9744    11360   130      0.000  IPI ENRT SK IPIALES VOR/DME
 3 -20.374722222  -70.172500000      279    11330    40     -4.000  IQQ ENRT SC IQUIQUE VOR/DME
12 -20.374722222  -70.172500000      279    11330    40      0.000  IQQ ENRT SC IQUIQUE VOR/DME
 3  -3.792500000  -73.317777778      335    11650    40     -6.000  IQT ENRT SP IQUITOS VOR/DME
12  -3.792500000  -73.317777778      335    11650    40      0.000  IQT ENRT SP IQUITOS VOR/DME
 3 -62.190833333  -58.982500000      161    11330    40     11.000  IRJ ENRT S1 ISLA REY JORGE VOR/DME
12 -62.190833333  -58.982500000      161    11330    40      0.000  IRJ ENRT S1 ISLA REY JORGE VOR/DME
 3 -24.736111111  -60.543888889        0    11220    40     -7.700  ITA ENRT SA LAS LOMITAS VOR
 3 -29.211944444  -67.441388889        0    11650    40     -0.000  ITO ENRT SA CHILECITO VOR
 2  -0.944891667  -90.955616667        0      246    50      0.000  IBL ENRT SE ISABELA NDB
 2 -25.462666667  -49.248333333        0      370    25      0.000   IC ENRT SB GISA (CURITIBA) NDB
 2 -20.485861111  -54.689327778        0      395    50      0.000   IG ENRT SB SOJA (CAMPO GRANDE) NDB
 2 -23.063833333  -43.146000000        0      315    50      0.000   IH ENRT SB RASA (RIO DE JANEIRO TMA) NDB
 2 -34.710808333  -58.240366667        0      210    50      0.000  ILM ENRT SA QUILMES NDB
 2  -3.783611111  -73.297777778        0      400    50      0.000  IQT ENRT SP IQUITOS NDB
 2 -33.636111111  -78.832777778        0      293    50      0.000  IRC ENRT SC ISLA ROBINSON CRUSOE NDB
 2 -62.199444444  -58.961388889        0      360    50      0.000  IRJ ENRT S1 ISLA REY JORGE NDB
 2 -25.408611111  -54.621944444        0      225    50      0.000  ITU ENRT SG ITAIPU NDB
 2 -15.864205556  -47.937261111        0      280    25      0.000   IR SBBR SB TREVO NDB
 2 -19.559919444  -44.036961111        0      245    25      0.000   IC SBCF SB MOCAMBO (BELO HORIZONTE) NDB
 2 -25.462666667  -49.248333333        0      370    25      0.000   IC SBCT SB GISA (CURITIBA) NDB
 2 -23.407711111  -46.387161111        0      240    25      0.000   IB SBGR SB BONSUCESSO (SAO PAULO) NDB
 2 -23.462188889  -46.573402778        0      410    25      0.000   IG SBGR SB TUCA (SAO PAULO) NDB
 2 -22.957475000  -47.204166667        0      370    25      0.000   IK SBKP SB BENTO (CAMPINAS) NDB
 2 -22.992750000  -47.155175000        0      300    25      0.000   IP SBKP SB JARDIM (CAMPINAS) NDB
 2  -8.113333333  -34.931666667        0      220    25      0.000   IF SBRF SB IBURA (RECIFE) NDB
 2 -23.544733333  -46.712627778        0      290    25      0.000   IS SBSP SB MADA (SAO PAULO) NDB
 2 -12.927911111  -38.420833333        0      220    50      0.000   IS SBSV SB CIMBRA (SALVADOR) NDB
 2 -12.913211111  -38.345661111        0      240    25      0.000   IV SBSV SB IPITANGA (SALVADOR) NDB
 2 -22.002500000  -47.341166667        0      345    25      0.000   IS SBYS SB FONTE (PIRASSUNUNGA) NDB
 3  -6.304202778  108.338994444       40    11640    40     -0.000  IMU ENRT WI INDRAMAYU VOR/DME
12  -6.304202778  108.338994444       40    11640    40      0.000  IMU ENRT WI INDRAMAYU VOR/DME
 3 -27.163888889 -109.405833333      719    11710    40     15.000  IPA ENRT SC ISLA DE PASCUA VOR/DME
12 -27.163888889 -109.405833333      719    11710    40      0.000  IPA ENRT SC ISLA DE PASCUA VOR/DME
 3 -74.691436111  164.103947222        0    10950    25     -0.000  ITA ENRT A1 TERRA NOVA BAY TACAN
12 -74.691436111  164.103947222        0    10950    25      0.000  ITA ENRT A1 TERRA NOVA BAY TACAN DME
 3  -7.606666667  111.435000000      361    11480   130     -0.000  IWY ENRT WI ISWAHYUDI (MADIUN) TACAN
12  -7.606666667  111.435000000      361    11480   130      0.000  IWY ENRT WI ISWAHYUDI (MADIUN) TACAN DME
 2 -17.561647222  146.015391667        0      212    50      0.000  IFL ENRT YB INNISFAIL NDB
 2 -22.590000000  167.451083333        0      332    15      0.000   IP ENRT NW ILE DES PINS NDB
 2 -29.884683333  151.139977778        0      260    50      0.000  IVL ENRT YB INVERELL NDB
 3  37.621852778  -97.268191667     1354    11650    40      4.000  IAB ENRT K3 MC CONNELL (WICHITA) TACAN
12  37.621852778  -97.268191667     1354    11650    40      0.000  IAB ENRT K3 MC CONNELL (WICHITA) TACAN DME
 3  43.112544444  -78.960238889      600    11100    25    -10.000  IAG ENRT K6 NIAGARA FALLS TACAN
12  43.112544444  -78.960238889      600    11100    25      0.000  IAG ENRT K6 NIAGARA FALLS TACAN DME
 3  29.956916667  -95.345719444       81    11660   130      5.000  IAH ENRT K4 HUMBLE (HOUSTON) VORTAC
12  29.956916667  -95.345719444       81    11660   130      0.000  IAH ENRT K4 HUMBLE (HOUSTON) VORTAC DME
 3  37.745258333  -97.583830556     1471    11380   130      7.000  ICT ENRT K3 WICHITA VORTAC
12  37.745258333  -97.583830556     1471    11380   130      0.000  ICT ENRT K3 WICHITA VORTAC DME
 3  43.519005556 -112.063916667     4724    11385   130     15.000  IDA ENRT K1 IDAHO FALLS VOR/DME
12  43.519005556 -112.063916667     4724    11385   130      0.000  IDA ENRT K1 IDAHO FALLS VOR/DME
