I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

12  41.641666667  123.478333333      193    11410    40      0.000  SEY ENRT ZY SHENYANG VOR/DME
 3  25.081666667  102.520000000     7585    11060    40     -1.000  SGM ENRT ZP XISHAN VOR/DME
12  25.081666667  102.520000000     7585    11060    40      0.000  SGM ENRT ZP XISHAN VOR/DME
 3  66.588333333   66.607500000      220    11330    40     23.000   SH ENRT US SALEKHARD VOR/DME
12  66.588333333   66.607500000      220    11330    40      0.000   SH ENRT US SALEKHARD VOR/DME
 3  31.215000000  121.333333333       30    11720   130     -5.000  SHA ENRT ZS HONGQIAO VOR/DME
12  31.215000000  121.333333333       30    11720   130      0.000  SHA ENRT ZS HONGQIAO VOR/DME
 3  29.431666667  106.728333333     1640    11100    40     -2.000  SHC ENRT ZU CHANGSHENGQIAO (CHONGQING VOR/DME
12  29.431666667  106.728333333     1640    11100    40      0.000  SHC ENRT ZU CHANGSHENGQIAO (CHONGQING VOR/DME
 3  22.496666667  113.903333333       36    11590   130     -2.000  SHK ENRT ZG SHEKOU VOR/DME
12  22.496666667  113.903333333       36    11590   130      0.000  SHK ENRT ZG SHEKOU VOR/DME
 3  23.091666667  113.850000000      500    11570   130     -3.000  SHL ENRT ZG SHILONG VOR/DME
12  23.091666667  113.850000000      500    11570   130      0.000  SHL ENRT ZG SHILONG VOR/DME
 3  28.416666667  117.970000000        1    11400   130     -4.000  SHR ENRT ZS SHANGRAO VOR/DME
12  28.416666667  117.970000000        1    11400   130      0.000  SHR ENRT ZS SHANGRAO VOR/DME
 3  29.600000000  120.816666667      250    11340    40     -4.000  SHZ ENRT ZS SHENGZHOU VOR/DME
12  29.600000000  120.816666667      250    11340    40      0.000  SHZ ENRT ZS SHENGZHOU VOR/DME
 3  52.155277778   22.200833333      591    11470   130      5.000  SIE ENRT EP SIEDLCE VOR/DME
12  52.155277778   22.200833333      591    11470   130      0.000  SIE ENRT EP SIEDLCE VOR/DME
 3  32.544072222  119.725066667       43    11310   130     -6.000  SJD ENRT ZS YANGZHOU VOR/DME
12  32.544072222  119.725066667       43    11310   130      0.000  SJD ENRT ZS YANGZHOU VOR/DME
 3  25.776666667  109.610000000     1122    11680   130     -2.000  SJG ENRT ZG SANJIANG VOR/DME
12  25.776666667  109.610000000     1122    11680   130      0.000  SJG ENRT ZG SANJIANG VOR/DME
 3  38.280000000  114.698333333      223    11770   130     -5.000  SJW ENRT ZB ZHENGDING VOR/DME
12  38.280000000  114.698333333      223    11770   130      0.000  SJW ENRT ZB ZHENGDING VOR/DME
 3  39.703722222   66.972638889     2225    11500   130      4.000  SKD ENRT UT SAMARKAND VOR/DME
12  39.703722222   66.972638889     2225    11500   130      0.000  SKD ENRT UT SAMARKAND VOR/DME
 3  48.453250000   19.115861111     1670    11400    40      4.000  SLC ENRT LZ SLIAC VOR/DME
12  48.453250000   19.115861111     1670    11400    40      0.000  SLC ENRT LZ SLIAC VOR/DME
 3  50.186805556   29.570138889      671    11330   130      7.000  SLV ENRT UK SOLOVIIVKA VOR/DME
12  50.186805556   29.570138889      671    11330   130      0.000  SLV ENRT UK SOLOVIIVKA VOR/DME
13  46.665722222   17.166361111      453    11320    40      0.000  SME ENRT LH SARMELLEK DME
 3  45.051666667   33.979722222      689    11660   130      6.000  SMF ENRT UK SIMFEROPOL' VOR/DME
12  45.051666667   33.979722222      689    11660   130      0.000  SMF ENRT UK SIMFEROPOL' VOR/DME
 3  42.358916667   69.504000000     1430    11300    40      6.000  SMK ENRT UA SHYMKENT VOR/DME
12  42.358916667   69.504000000     1430    11300    40      0.000  SMK ENRT UA SHYMKENT VOR/DME
 3  44.903055556  110.130277778     3346    11660   130     -5.000  SND ENRT ZM SAINSHAND VOR/DME
12  44.903055556  110.130277778     3346    11660   130      0.000  SND ENRT ZM SAINSHAND VOR/DME
 3  31.680000000  118.968333333       89    11575   130     -4.000  SNQ ENRT ZS SHIQIU VOR/DME
12  31.680000000  118.968333333       89    11575   130      0.000  SNQ ENRT ZS SHIQIU VOR/DME
 3  42.698111111   23.389388889     1772    11260    40      3.000  SOF ENRT LB SOFIA VOR/DME
12  42.698111111   23.389388889     1772    11260    40      0.000  SOF ENRT LB SOFIA VOR/DME
 3  59.806972222   30.274694444       89    11340   130     10.000  SPB ENRT UL ST PETERSBURG VOR/DME
12  59.806972222   30.274694444       89    11340   130      0.000  SPB ENRT UL ST PETERSBURG VOR/DME
 3  55.890472222   23.402388889      500    11630    40      9.000  SQQ ENRT EY SIAULIAI TACAN
12  55.890472222   23.402388889      500    11630    40      0.000  SQQ ENRT EY SIAULIAI TACAN DME
13  49.405194444   31.076777778      472    11300    25      0.000  STB ENRT UK STEBLIV DME
 3  44.918611111   25.976944444      600    11320   130      5.000  STJ ENRT LR STREJNIC VOR/DME
12  44.918611111   25.976944444      600    11320   130      0.000  STJ ENRT LR STREJNIC VOR/DME
 3  56.223222222   43.777333333       16    11290   130     12.000  STR ENRT UW STRIGINO (NIZHNY NOVGOROD VOR/DME
12  56.223222222   43.777333333       16    11290   130      0.000  STR ENRT UW STRIGINO (NIZHNY NOVGOROD VOR/DME
 3  31.498333333  120.431666667       36    11410    40     -5.000  SUF ENRT ZS SHUOFANG VOR/DME
12  31.498333333  120.431666667       36    11410    40      0.000  SUF ENRT ZS SHUOFANG VOR/DME
 3  52.379722222   14.585555556       98    11670   130      3.000  SUI ENRT EP SLUBICE VOR/DME
12  52.379722222   14.585555556       98    11670   130      0.000  SUI ENRT EP SLUBICE VOR/DME
 3  54.069722222   22.900277778      591    11770   130      6.000  SUW ENRT EP SUWALKI VOR/DME
12  54.069722222   22.900277778      591    11770   130      0.000  SUW ENRT EP SUWALKI VOR/DME
 3  46.828055556   18.117777778      502    11770   130      4.000  SVR ENRT LH SAGVAR VOR/DME
12  46.828055556   18.118055556      502    11770   130      0.000  SVR ENRT LH SAGVAR VOR/DME
 3  23.440000000  116.766666667       33    11260   130     -2.000  SWA ENRT ZG SHANTOU VOR/DME
12  23.440000000  116.766666667       33    11260   130      0.000  SWA ENRT ZG SHANTOU VOR/DME
 3  51.236166667   22.685472222      689    11220   130      5.000  SWI ENRT EP SWIDNIK VOR/DME
12  51.236166667   22.685472222      689    11220   130      0.000  SWI ENRT EP SWIDNIK VOR/DME
