I
1100 Version - data cycle 1611, build 20161011, metadata NavXP1100. Copyright (c) 2016 Navigraph. License: GPL+2

 2  48.114833333   17.298361111        0      330    50      0.000   OB ENRT LZ STEFANIK SOUTH NDB
 2  40.288333333  116.535000000        0      380    75      0.000   OB ENRT ZB HUAIROU NDB
 2  38.455000000  114.555000000        0      235    50      0.000   OC ENRT ZB XINGTANG NDB
 2  46.473888889   30.656111111        0      348    75      0.000   OD ENRT UK ODESA NDB
 2  53.260000000   34.166666667        0      325    15      0.000   OD ENRT UU BRYANSK NDB
 2  34.598333333  108.915000000        0      202    75      0.000   OD ENRT ZL SANYUAN NDB
 2  46.380000000   30.696666667        0      348    75      0.000   OE ENRT UK ODESA NDB
 2  32.673333333  118.578333333        0      340    50      0.000   OF ENRT ZS BANTAJI NDB
 2  46.211166667  102.852444444        0      505    50      0.000   OG ENRT ZM ARVAIKHEER NDB
 2  24.862027778  118.630361111        0      212    15      0.000   OJ ENRT ZS JINJIANG NDB
 2  56.006944444   45.024722222        0      564    50      0.000   OK ENRT UU LYSKOVO NDB
 2  48.223861111   17.290333333        0      391    50      0.000  OKR ENRT LZ STEFANIK NORTH NDB
 2  53.555083333   14.959972222        0      397    50      0.000   OL ENRT EP GOLENIOW (SZCZECIN) NDB
 2  44.574777778   26.211250000        0      349    15      0.000  OPE ENRT LR OTOPENI (BUCHAREST) NDB
 2  44.557750000   25.984638889        0      267    15      0.000  OPW ENRT LR OTOPENI (BUCHAREST) NDB
 2  47.100361111   21.924138889        0      418    25      0.000  ORA ENRT LR ORADEA NDB
 2  29.851666667  106.846666667        0      241    75      0.000   OS ENRT ZU TONGJINGCHANG NDB
 2  44.570250000   26.000611111        0      370    15      0.000  OTL ENRT LR OTOPENI (BUCHAREST) NDB
 2  44.588000000   26.235361111        0      318    15      0.000  OTR ENRT LR OTOPENI (BUCHAREST) NDB
 2  40.636752778   72.741983333        0      780    25      0.000   OU ENRT UC OSH NDB
 2  43.884166667   87.364311111        0      352    15      0.000   OY ENRT ZW URUMQI NDB
 2  58.957111111   22.871888889        0      317    25      0.000   OZ ENRT EE KARDLA NDB
 2  47.137638889   20.244027778        0      422    15      0.000    O LHSN LH SZOLNOK NDB
 2  47.163250000   20.258611111        0      282    15      0.000   OA LHSN LH SZOLNOK NDB
 2  47.045194444   21.908138889        0      360    15      0.000    O LROD LR ORADEA NDB
 2  44.716583333   65.616972222        0      985    25      0.000    O UAOO UA KYZYLORDA NDB
 2  44.730750000   65.652305556        0      486    25      0.000   OR UAOO UA KYZYLORDA NDB
 2  40.621041667   72.771055556        0      385    25      0.000    O UCFO UC OSH NDB
 2  53.510277778  142.902777778        0      885    25      0.000    O UHSH UH NOVOSTROYKA (OKHA) NDB
 2  53.487500000  142.967777778        0      437    25      0.000   OG UHSH UH NOVOSTROYKA (OKHA) NDB
 2  50.315694444   30.903111111        0      640    15      0.000    O UKBB UK BORYSPIL' (KYIV) NDB
 2  48.024527778   33.205277778        0      697    15      0.000    O UKDR UK LOZUVATKA (KRYVYI RIH) NDB
 2  49.571944444   34.362222222        0      580    15      0.000    O UKHP UK POLTAVA NDB
 2  50.581111111   30.208333333        0      286    15      0.000    O UKKM UK ANTONOV (KYIV) NDB
 2  59.787833333   30.299750000        0      572    15      0.000    O ULLI UL PULKOVO (ST PETERSBURG) NDB
 2  59.260666667   37.990916667        0      825    25      0.000    O ULWC UL CHEREPOVETS NDB
 2  59.243222222   37.960805556        0      405    25      0.000   OW ULWC UL CHEREPOVETS NDB
 2  71.970000000  102.435833333        0      681    15      0.000    O UOHH UO KHATANGA NDB
 2  71.951666667  102.311944444        0      332    15      0.000   OA UOHH UO KHATANGA NDB
 2  45.104166667   42.084500000        0      358    15      0.000    O URMT UR SHPAKOVSKOYE (STAVROPOL) NDB
 2  45.097666667   42.048611111        0      730    15      0.000   OP URMT UR SHPAKOVSKOYE (STAVROPOL) NDB
 2  58.490000000   49.318583333        0      213    15      0.000    O USKK US POBEDILOVO (KIROV) NDB
 2  58.472722222   49.282222222        0      438    15      0.000   OR USKK US POBEDILOVO (KIROV) NDB
 2  67.968638889   75.119916667        0      707    15      0.000    O USMQ US YAMBURG NDB
 2  67.944500000   75.149305556        0      345    15      0.000   ON USMQ US YAMBURG NDB
 2  62.171388889   74.526666667        0      996    15      0.000    O USRK US KOGALYM NDB
 2  62.145833333   74.518055556        0      490    15      0.000   OL USRK US KOGALYM NDB
 2  55.601472222   37.305500000        0      852    15      0.000   OB UUWW UU VNUKOVO (MOSCOW) NDB
 2  55.578722222   37.251638889        0      949    15      0.000   OE UUWW UU VNUKOVO (MOSCOW) NDB
 2  51.078000000   58.630666667        0      780    15      0.000    O UWOR UW ORSK NDB
 2  51.084527778   58.668777778        0      385    15      0.000   OR UWOR UW ORSK NDB
 2  51.576361111   46.022472222        0      722    15      0.000    O UWSS UW TSENTRALNY (SARATOV) NDB
 2  51.595194444   45.981305556        0      427    15      0.000   OH UWSS UW TSENTRALNY (SARATOV) NDB
 2  40.122077778  116.589602778        0      196    50      0.000   OR ZBAA ZB BEIJING CAPITAL NDB
 2  38.301233333  114.680450000        0      528    15      0.000    O ZBSJ ZB ZHENGDING (SHIJIAZHUANG) NDB
 2  48.143666667  114.617388889        0      430    25      0.000   ON ZMCD ZM CHOIBALSAN NDB
 2  24.814480556  118.600269444        0      438    15      0.000    O ZSQZ ZS JINJIANG (QUANZHOU) NDB
 2  43.900052778   87.440744444        0      212    15      0.000    O ZWWW ZW DIWOPU (URUMQI) NDB
 3  51.305047222   -0.447183333      200    11530   130     -1.000  OCK ENRT EG OCKHAM VOR/DME
12  51.305047222   -0.447183333      200    11530   130      0.000  OCK ENRT EG OCKHAM VOR/DME
 3  51.232908333   -0.948477778      410    10960    40     -1.000  ODH ENRT EG ODIHAM TACAN
12  51.232908333   -0.948477778      410    10960    40      0.000  ODH ENRT EG ODIHAM TACAN DME
 3  55.581011111   10.652988889       24    11550   130      2.000  ODN ENRT EK ODIN VOR/DME
12  55.581011111   10.652988889       24    11550   130      0.000  ODN ENRT EK ODIN VOR/DME
 3  41.172500000   20.736388889     2313    11250    25      4.000  OHR ENRT LW OHRID VOR/DME
12  41.172500000   20.736388889     2313    11250    25      0.000  OHR ENRT LW OHRID VOR/DME
 3  44.958075000   16.804350000      558    11790   130      3.000  OMA ENRT LQ OMARSKA VOR/DME
12  44.958075000   16.804350000      558    11790   130      0.000  OMA ENRT LQ OMARSKA VOR/DME
 3  44.139305556    4.866055556      197    10940   130      1.000  ORG ENRT LF ORANGE TACAN
12  44.139305556    4.866055556      197    10940   130      0.000  ORG ENRT LF ORANGE TACAN DME
 3  63.681094444    9.623711111       55    11140    40      2.000  ORL ENRT EN ORLAND TACAN
12  63.681094444    9.623711111       55    11140    40      0.000  ORL ENRT EN ORLAND TACAN DME
13  60.833500000   25.762091667      273    11730   130      0.000  ORM ENRT EF ORIMAA (HELSINKI) DME
 3  52.200136111    8.285519444      417    10835    25      2.000  OSB ENRT ED OSNABRUCK TACAN
12  52.200136111    8.285519444      417    10835    25      0.000  OSB ENRT ED OSNABRUCK TACAN DME
 3  63.406055556   18.993555556      351    11500   130      6.000  OSK ENRT ES ORNSKOLDSVIK VOR/DME
12  63.406055556   18.993555556      351    11500   130      0.000  OSK ENRT ES ORNSKOLDSVIK VOR/DME
 3  52.200136111    8.285519444        0    11430   130      1.000  OSN ENRT ED OSNABRUCK VOR
 3  63.199555556   14.487555556     1201    11465   130      3.000  OSS ENRT ES OSTERSUND VOR/DME
12  63.199555556   14.487555556     1201    11465   130      0.000  OSS ENRT ES OSTERSUND VOR/DME
 3  41.803777778   12.237527778       36    11490   130      2.000  OST ENRT LI OSTIA VOR/DME
12  41.803888889   12.237472222       36    11490   130      0.000  OST ENRT LI OSTIA VOR/DME
 3  53.698213889   -0.103736111        1    11390   130     -1.000  OTR ENRT EG OTTRINGHAM VOR/DME
12  53.698213889   -0.103736111        1    11390   130      0.000  OTR ENRT EG OTTRINGHAM VOR/DME
 3  64.931552778   25.359283333       66    11330   130     10.000  OUK ENRT EF OULU VOR/DME
12  64.931552778   25.359283333       66    11330   130      0.000  OUK ENRT EF OULU VOR/DME
 3  40.887083333   -8.643388889      120    11060    40     -3.000  OVR ENRT LP OVAR TACAN
12  40.887083333   -8.643388889      120    11060    40      0.000  OVR ENRT LP OVAR TACAN DME
 3  69.286277778   16.144416667       35    10910    25      6.000  OYA ENRT EN ANDOYA TACAN
12  69.286277778   16.144416667       35    10910    25      0.000  OYA ENRT EN ANDOYA TACAN DME
 3  46.405194444   11.292305556     2136    11705    40      2.000  OZE ENRT LI BOLZANO VOR/DME
12  46.405250000   11.292472222     2136    11705    40      0.000  OZE ENRT LI BOLZANO VOR/DME
 2  52.470241667    4.753272222        0      395    25      0.000   OA ENRT EH SCHIPHOL (AMSTERDAM) NDB
 2  57.827055556   14.112277778        0      338    15      0.000   OA ENRT ES JONKOPING NDB
 2  48.001250000    1.768722222        0      385    75      0.000  OAN ENRT LF ORLEANS-BRICY NDB
